line_id,ferro_id,timestamp,stress_value,propagation_depth,affected_bus_count,gradient_direction
mock_foreign_key_551,mock_foreign_key_150,2025-07-24T23:18:11.206Z,404.24,6,8,upstream
mock_foreign_key_7,mock_foreign_key_10,2025-08-14T12:18:30.478Z,342.45,5,14,downstream
mock_foreign_key_258,mock_foreign_key_940,2025-07-21T14:40:55.398Z,456.66,6,16,upstream
mock_foreign_key_324,mock_foreign_key_955,2025-08-17T00:29:11.116Z,155.69,7,21,downstream
mock_foreign_key_261,mock_foreign_key_316,2025-10-30T09:33:00.386Z,405.02,2,19,downstream
mock_foreign_key_911,mock_foreign_key_305,2026-04-09T07:53:16.949Z,472.85,6,9,downstream
mock_foreign_key_26,mock_foreign_key_376,2025-07-17T13:51:30.502Z,102.29,4,18,upstream
mock_foreign_key_637,mock_foreign_key_566,2026-02-05T18:27:53.288Z,397.46,1,18,downstream
mock_foreign_key_691,mock_foreign_key_928,2026-02-26T03:45:08.661Z,415.82,5,25,downstream
mock_foreign_key_322,mock_foreign_key_560,2026-04-25T04:50:04.530Z,20.99,8,10,upstream
mock_foreign_key_684,mock_foreign_key_193,2025-11-15T08:44:22.530Z,116.36,5,20,downstream
mock_foreign_key_530,mock_foreign_key_428,2025-11-27T20:10:41.115Z,401.25,3,2,downstream
mock_foreign_key_229,mock_foreign_key_644,2025-08-18T12:14:01.986Z,191.43,1,16,upstream
mock_foreign_key_311,mock_foreign_key_391,2026-03-05T21:28:25.313Z,422.54,4,17,downstream
mock_foreign_key_666,mock_foreign_key_466,2025-12-19T15:18:20.923Z,338.93,4,10,downstream
mock_foreign_key_73,mock_foreign_key_322,2025-11-26T08:48:24.560Z,147.51,5,19,lateral
mock_foreign_key_110,mock_foreign_key_671,2025-09-12T17:38:50.245Z,87.39,7,15,downstream
mock_foreign_key_31,mock_foreign_key_630,2025-07-21T06:49:52.436Z,328.63,3,21,downstream
mock_foreign_key_601,mock_foreign_key_483,2025-08-25T02:54:28.666Z,131.12,7,2,lateral
mock_foreign_key_179,mock_foreign_key_505,2026-01-13T07:42:10.385Z,226.78,8,23,lateral
