line_id,switching_event_id,ferro_mode,is_label_positive,peak_overvoltage_pu,duration_ms,detected_at,suppressed_by_relay
mock_foreign_key_628,mock_foreign_key_92,sub_harmonic,false,4.47,4030.42,2025-06-07T16:08:50.087Z,false
mock_foreign_key_583,mock_foreign_key_924,sub_harmonic,false,2.84,4847.97,2026-02-26T11:02:37.055Z,false
mock_foreign_key_155,mock_foreign_key_561,chaotic,false,1.29,4160.99,2025-08-08T04:12:41.174Z,false
mock_foreign_key_873,mock_foreign_key_523,fundamental,false,1.91,3161.82,2026-01-01T05:27:01.276Z,true
mock_foreign_key_34,mock_foreign_key_107,sub_harmonic,false,4.27,1855.75,2025-05-19T02:32:32.221Z,false
mock_foreign_key_82,mock_foreign_key_685,chaotic,false,1.76,1700.09,2026-03-12T13:12:49.957Z,true
mock_foreign_key_349,mock_foreign_key_238,chaotic,false,1.19,2943.86,2025-12-04T11:37:54.857Z,true
mock_foreign_key_321,mock_foreign_key_767,sub_harmonic,false,2.6,140.84,2025-06-30T23:45:39.706Z,false
mock_foreign_key_752,mock_foreign_key_200,fundamental,false,4.4,2820.08,2025-09-20T05:51:31.548Z,false
mock_foreign_key_455,mock_foreign_key_74,fundamental,false,3.51,292.12,2025-09-11T07:02:50.501Z,false
mock_foreign_key_958,mock_foreign_key_184,fundamental,false,4.37,2019.97,2025-09-25T02:16:46.075Z,false
mock_foreign_key_609,mock_foreign_key_409,fundamental,false,3.08,4854.26,2025-11-20T09:44:51.722Z,true
mock_foreign_key_147,mock_foreign_key_460,chaotic,false,2.23,416.93,2025-08-26T00:36:30.033Z,true
mock_foreign_key_130,mock_foreign_key_188,sub_harmonic,false,3.14,785.01,2025-12-19T22:18:59.996Z,true
mock_foreign_key_645,mock_foreign_key_708,chaotic,false,1.91,3007.76,2025-07-24T07:47:48.326Z,true
mock_foreign_key_134,mock_foreign_key_219,chaotic,false,1.45,3782.33,2026-01-29T10:00:44.237Z,false
mock_foreign_key_413,mock_foreign_key_834,sub_harmonic,false,4.26,1848.93,2026-02-23T03:42:46.885Z,false
mock_foreign_key_352,mock_foreign_key_298,sub_harmonic,false,3.48,4683.59,2025-11-28T00:30:02.444Z,false
mock_foreign_key_201,mock_foreign_key_387,sub_harmonic,false,1.25,3862.31,2025-12-02T16:06:21.152Z,true
mock_foreign_key_235,mock_foreign_key_412,sub_harmonic,false,1.14,4504.1,2026-01-09T19:42:51.527Z,true
mock_foreign_key_830,mock_foreign_key_547,fundamental,false,3.34,301.99,2026-03-24T13:32:32.967Z,true
mock_foreign_key_308,mock_foreign_key_740,fundamental,false,3.15,3339.85,2026-02-08T14:58:42.710Z,true
mock_foreign_key_275,mock_foreign_key_300,fundamental,false,1.61,1473.59,2025-10-22T16:33:12.919Z,true
mock_foreign_key_199,mock_foreign_key_6,sub_harmonic,false,4.23,1641.16,2025-07-11T12:03:42.619Z,false
mock_foreign_key_39,mock_foreign_key_916,sub_harmonic,false,3.88,1844.03,2026-01-10T09:59:14.451Z,true
mock_foreign_key_982,mock_foreign_key_352,fundamental,false,2.94,4107.09,2025-08-12T16:51:44.192Z,true
mock_foreign_key_196,mock_foreign_key_189,sub_harmonic,false,2.66,2042.75,2025-06-23T06:38:10.560Z,false
mock_foreign_key_37,mock_foreign_key_1,sub_harmonic,false,1.96,3363.57,2025-12-21T21:48:07.448Z,true
mock_foreign_key_610,mock_foreign_key_981,fundamental,false,1.92,1718.57,2025-08-21T13:41:14.498Z,true
mock_foreign_key_700,mock_foreign_key_32,chaotic,false,1.51,107.18,2025-09-08T13:19:27.498Z,false
mock_foreign_key_189,mock_foreign_key_496,sub_harmonic,false,2.05,4860.98,2026-03-18T03:51:39.831Z,true
mock_foreign_key_995,mock_foreign_key_359,chaotic,false,3.99,1252.29,2026-01-25T08:35:49.931Z,false
mock_foreign_key_205,mock_foreign_key_953,fundamental,false,3.74,3187.37,2025-06-02T12:47:22.632Z,false
mock_foreign_key_224,mock_foreign_key_804,sub_harmonic,false,2.84,1392.13,2026-04-29T06:04:04.838Z,true
mock_foreign_key_423,mock_foreign_key_834,fundamental,false,3.27,2628.29,2025-05-30T00:24:43.426Z,true
mock_foreign_key_841,mock_foreign_key_762,chaotic,false,4.32,4671.69,2025-12-13T19:32:40.046Z,true
mock_foreign_key_274,mock_foreign_key_699,sub_harmonic,false,2.83,3804.19,2025-10-20T02:15:23.592Z,true
mock_foreign_key_905,mock_foreign_key_720,chaotic,false,1.79,3530.49,2025-10-02T10:19:22.877Z,false
mock_foreign_key_273,mock_foreign_key_131,fundamental,false,3.94,474.2,2025-12-04T07:43:43.477Z,true
mock_foreign_key_587,mock_foreign_key_640,chaotic,false,1.41,4773.82,2026-01-12T01:36:29.508Z,true
mock_foreign_key_265,mock_foreign_key_509,sub_harmonic,false,3.85,4957.85,2025-09-22T06:04:38.320Z,true
mock_foreign_key_971,mock_foreign_key_966,fundamental,false,3.16,3224.53,2025-10-01T14:18:35.819Z,false
mock_foreign_key_139,mock_foreign_key_440,fundamental,false,4.06,2739.9,2025-11-09T02:17:53.422Z,false
mock_foreign_key_121,mock_foreign_key_504,fundamental,false,3.8,223.14,2026-01-28T08:29:32.805Z,false
mock_foreign_key_210,mock_foreign_key_390,sub_harmonic,false,3.71,4645.86,2025-11-07T10:25:54.601Z,true
mock_foreign_key_676,mock_foreign_key_265,fundamental,false,1.13,1841.81,2025-06-06T05:00:42.252Z,true
mock_foreign_key_921,mock_foreign_key_447,fundamental,false,2.25,3423.35,2025-08-12T16:51:31.507Z,false
mock_foreign_key_175,mock_foreign_key_586,fundamental,false,1.61,4542.95,2026-04-02T23:49:18.394Z,true
mock_foreign_key_239,mock_foreign_key_581,chaotic,false,1.51,702.46,2025-10-31T04:50:02.342Z,false
mock_foreign_key_8,mock_foreign_key_809,chaotic,false,4.35,4986.71,2025-06-19T20:36:42.006Z,true
mock_foreign_key_210,mock_foreign_key_975,fundamental,false,3.53,1764,2025-11-26T03:28:46.689Z,true
mock_foreign_key_268,mock_foreign_key_487,fundamental,false,2.11,3343.47,2025-10-17T23:35:53.420Z,true
mock_foreign_key_44,mock_foreign_key_6,chaotic,false,2.67,2208.23,2026-04-04T09:07:16.828Z,false
mock_foreign_key_401,mock_foreign_key_385,sub_harmonic,false,2.14,2515.83,2025-12-12T06:22:09.021Z,true
mock_foreign_key_449,mock_foreign_key_310,chaotic,false,3.03,3114.49,2025-07-25T09:18:58.599Z,true
mock_foreign_key_512,mock_foreign_key_793,fundamental,false,1.43,1668.5,2025-07-30T15:35:54.314Z,true
mock_foreign_key_829,mock_foreign_key_285,fundamental,false,1.11,1219.37,2026-03-13T07:02:57.036Z,true
mock_foreign_key_458,mock_foreign_key_847,fundamental,false,2.05,833.21,2025-05-26T08:36:39.311Z,true
mock_foreign_key_685,mock_foreign_key_543,chaotic,false,4.41,1015.78,2026-01-10T07:48:25.704Z,true
mock_foreign_key_813,mock_foreign_key_134,fundamental,false,2.05,3270.78,2025-09-26T06:10:47.649Z,true
mock_foreign_key_601,mock_foreign_key_94,fundamental,false,1.75,2702.67,2026-02-20T00:58:43.082Z,false
mock_foreign_key_10,mock_foreign_key_178,chaotic,false,1.52,759.32,2025-08-22T12:46:01.856Z,true
mock_foreign_key_991,mock_foreign_key_964,fundamental,false,1.13,3456.84,2025-05-08T14:07:13.819Z,true
mock_foreign_key_51,mock_foreign_key_453,sub_harmonic,false,4.1,3174.99,2025-06-22T06:23:44.640Z,false
mock_foreign_key_802,mock_foreign_key_99,fundamental,false,4.09,3334.11,2025-08-22T17:41:25.683Z,false
mock_foreign_key_506,mock_foreign_key_20,chaotic,false,3.28,3646.21,2025-12-27T23:38:33.271Z,true
mock_foreign_key_787,mock_foreign_key_709,fundamental,false,3.3,4516.89,2025-09-08T02:33:16.379Z,true
mock_foreign_key_899,mock_foreign_key_831,sub_harmonic,false,4.28,138.2,2025-05-06T17:37:30.970Z,true
mock_foreign_key_545,mock_foreign_key_686,fundamental,false,4.16,1605.02,2025-06-21T14:22:28.865Z,false
mock_foreign_key_691,mock_foreign_key_181,sub_harmonic,false,1.51,2922.6,2026-02-06T06:59:50.944Z,false
mock_foreign_key_451,mock_foreign_key_504,sub_harmonic,false,3.19,2403.87,2026-04-08T20:39:01.273Z,false
mock_foreign_key_812,mock_foreign_key_794,fundamental,false,2.91,4658.59,2025-06-28T01:24:10.978Z,false
mock_foreign_key_236,mock_foreign_key_146,fundamental,true,3.6,2965.58,2026-02-27T20:30:42.723Z,true
mock_foreign_key_760,mock_foreign_key_239,sub_harmonic,false,1.21,4216.87,2026-02-08T15:23:54.504Z,true
mock_foreign_key_172,mock_foreign_key_657,chaotic,false,4.42,3017.85,2025-05-29T22:39:58.722Z,false
mock_foreign_key_817,mock_foreign_key_910,sub_harmonic,false,2.9,190.83,2026-02-04T07:30:25.394Z,true
mock_foreign_key_419,mock_foreign_key_525,sub_harmonic,false,2,310.43,2026-03-24T22:55:21.240Z,false
mock_foreign_key_613,mock_foreign_key_864,chaotic,false,1.96,70.93,2026-03-15T00:39:28.702Z,true
mock_foreign_key_992,mock_foreign_key_727,sub_harmonic,false,3.04,73.93,2025-10-01T12:54:51.969Z,true
mock_foreign_key_326,mock_foreign_key_750,chaotic,false,3.82,1494.14,2026-01-24T21:27:24.368Z,false
mock_foreign_key_3,mock_foreign_key_538,fundamental,false,1.99,2572.26,2026-01-05T15:32:21.694Z,false
mock_foreign_key_230,mock_foreign_key_231,chaotic,false,2.31,3050.33,2025-06-11T20:53:46.815Z,false
mock_foreign_key_22,mock_foreign_key_403,fundamental,false,3.05,2709.98,2025-12-08T11:26:02.562Z,false
mock_foreign_key_125,mock_foreign_key_207,chaotic,false,4,3723.6,2025-08-03T02:17:42.565Z,true
mock_foreign_key_395,mock_foreign_key_120,chaotic,false,2.55,919.21,2026-01-14T02:43:23.313Z,false
mock_foreign_key_347,mock_foreign_key_803,chaotic,false,1.41,4934.03,2025-09-20T04:09:17.940Z,false
mock_foreign_key_975,mock_foreign_key_171,fundamental,false,4.25,4037.45,2026-01-09T15:44:16.700Z,true
mock_foreign_key_241,mock_foreign_key_764,chaotic,false,3.9,4699.4,2025-05-28T05:07:59.510Z,true
mock_foreign_key_914,mock_foreign_key_806,chaotic,false,2.08,410.04,2026-01-23T19:22:02.423Z,false
mock_foreign_key_420,mock_foreign_key_886,sub_harmonic,false,3.19,2238.26,2026-02-23T17:19:03.604Z,false
mock_foreign_key_73,mock_foreign_key_44,sub_harmonic,false,2.8,774.61,2025-07-09T13:38:29.989Z,true
mock_foreign_key_605,mock_foreign_key_567,fundamental,false,4,396.7,2025-08-26T17:58:56.943Z,false
mock_foreign_key_905,mock_foreign_key_670,sub_harmonic,false,3.89,1001.97,2026-02-21T03:31:14.259Z,true
